Shipment_ID,Distance_km,Weight_kg,Mode_of_Transport,Origin,Destination,Fuel_Price_per_Liter,Demand_Fluctuation,Traffic_Conditions,Warehouse_Processing_Time,Customs_Clearance_Delay,Packaging_Cost,Freight_Insurance_Cost,Freight_Cost_USD
SHIP00001,,1341,Rail,Kolkata,London,1.89,1.04220961616702,Medium,8,2,326.35,969.69,
SHIP00002,3822,3538,Sea,Kolkata,Los Angeles,0.75,1.07588253123703,High,8,3,293.82,649.12,676.72
SHIP00003,3142,4777,Road,Chennai,London,1.99,1.17077116940939,Low,3,2,52.03,150.3,1288.52
SHIP00004,516,3704,Air,Chennai,Dubai,1.58,1.12924414906671,Low,8,3,421.87,181.12,1267.5
SHIP00005,4476,578,Sea,Mumbai,Dubai,,0.998044801827772,High,5,4,428.14,615.63,463.68
SHIP00006,3494,3374,Air,Mumbai,Singapore,1.3,0.975206352753852,Medium,4,0,427.1,285.77,
SHIP00007,3221,2030,Air,Chennai,Singapore,1.57,1.06187043384644,High,4,1,117.73,841.13,2118.6
SHIP00008,2969,2989,Road,Bangalore,London,1.42,1.0934136488859,Low,4,2,166.26,115.91,693.02
SHIP00009,180,1379,Road,Chennai,London,1.14,0.869061419142006,Low,1,2,370.59,274.44,86.14
SHIP00010,1735,1283,Rail,Mumbai,New York,0.87,0.81300979823916,Medium,7,4,208.72,653.02,201.71
SHIP00011,819,1803,Road,Delhi,New York,0.86,0.98186114072602,Medium,4,3,229.26,673.81,145.28
SHIP00012,2441,,Rail,Delhi,New York,1.89,0.839781248910316,High,2,1,302.45,727.85,736.33
SHIP00013,2483,2983,Sea,Kolkata,Dubai,0.85,0.909093407029781,Low,1,3,26.27,873.49,460.68
SHIP00014,1234,2809,Air,Delhi,Los Angeles,1.94,1.0338958397452,Medium,3,3,25.02,970.5,
SHIP00015,4605,2825,Road,Mumbai,London,0.82,0.860580813185405,Low,1,2,39.41,240.85,424.64
SHIP00016,3435,,Sea,Delhi,Singapore,1.08,0.811397216091263,Medium,5,2,119.16,296.02,683.98
SHIP00017,4167,3900,Rail,Bangalore,London,0.52,1.02184031796884,Medium,6,2,490.89,424.66,390.04
SHIP00018,4893,2577,Road,Chennai,Los Angeles,1.85,0.986491020106838,Low,6,0,58.12,413.69,1128.13
SHIP00019,2954,940,Air,Chennai,London,,0.922521226781575,Low,6,0,443.13,385.76,625.43
SHIP00020,524,2115,Sea,Mumbai,Singapore,1.04,0.987514324293659,High,7,2,68.77,109.08,243.63
