Shipment_ID,Distance_km,Weight_kg,Mode_of_Transport,Origin,Destination,Fuel_Price_per_Liter,Demand_Fluctuation,Traffic_Conditions,Warehouse_Processing_Time,Customs_Clearance_Delay,Packaging_Cost,Freight_Insurance_Cost,Freight_Cost_USD
SHIP00001,2588.5,1341.0,Rail,Kolkata,London,1.89,1.04220961616702,Medium,8,2,326.35,969.69,818.7402369133013
SHIP00002,3822.0,3538.0,Sea,Kolkata,Los Angeles,0.75,1.07588253123703,High,8,3,293.82,649.12,676.72
SHIP00003,3142.0,4777.0,Road,Chennai,London,1.99,1.17077116940939,Low,3,2,52.03,150.3,1288.52
SHIP00004,516.0,3704.0,Air,Chennai,Dubai,1.58,1.12924414906671,Low,8,3,421.87,181.12,1267.5
SHIP00005,4476.0,578.0,Sea,Mumbai,Dubai,1.26,0.998044801827772,High,5,4,428.14,615.63,463.68
SHIP00006,3494.0,3374.0,Air,Mumbai,Singapore,1.3,0.975206352753852,Medium,4,0,427.1,285.77,818.7402369133013
SHIP00007,3221.0,2030.0,Air,Chennai,Singapore,1.57,1.06187043384644,High,4,1,117.73,841.13,1951.27375
SHIP00008,2969.0,2989.0,Road,Bangalore,London,1.42,1.0934136488859,Low,4,2,166.26,115.91,693.02
SHIP00009,180.0,1379.0,Road,Chennai,London,1.14,0.869061419142006,Low,1,2,370.59,274.44,86.14
SHIP00010,1735.0,1283.0,Rail,Mumbai,New York,0.87,0.81300979823916,Medium,7,4,208.72,653.02,201.71
SHIP00011,819.0,1803.0,Road,Delhi,New York,0.86,0.98186114072602,Medium,4,3,229.26,673.81,145.28
SHIP00012,2441.0,2495.039894736842,Rail,Delhi,New York,1.89,0.839781248910316,High,2,1,302.45,727.85,736.33
SHIP00013,2483.0,2983.0,Sea,Kolkata,Dubai,0.85,0.909093407029781,Low,1,3,26.27,873.49,460.68
SHIP00014,1234.0,2809.0,Air,Delhi,Los Angeles,1.94,1.0338958397452,Medium,3,3,25.02,970.5,818.7402369133013
SHIP00015,4605.0,2825.0,Road,Mumbai,London,0.82,0.860580813185405,Low,1,2,39.41,240.85,424.64
SHIP00016,3435.0,2495.039894736842,Sea,Delhi,Singapore,1.08,0.811397216091263,Medium,5,2,119.16,296.02,683.98
SHIP00017,4167.0,3900.0,Rail,Bangalore,London,0.52,1.02184031796884,Medium,6,2,490.89,424.66,390.04
SHIP00018,4893.0,2577.0,Road,Chennai,Los Angeles,1.85,0.986491020106838,Low,6,0,58.12,413.69,1128.13
SHIP00019,2954.0,940.0,Air,Chennai,London,1.26,0.922521226781575,Low,6,0,443.13,385.76,625.43
SHIP00020,524.0,2115.0,Sea,Mumbai,Singapore,1.04,0.987514324293659,High,7,2,68.77,109.08,243.63
SHIP00021,1132.0,1238.0,Road,Kolkata,Singapore,1.76,1.07340905574947,High,1,3,371.03,869.62,330.8
SHIP00022,2608.0,4347.0,Road,Chennai,Los Angeles,1.69,0.843600294469621,High,4,1,321.95,680.27,681.69
SHIP00023,2588.5,790.0,Sea,Delhi,Singapore,1.76,0.902275777502639,Low,9,1,366.76,797.95,593.6
SHIP00024,2797.0,1419.0,Rail,Bangalore,Dubai,1.87,1.11798417837421,Medium,2,3,52.47,999.77,879.7
SHIP00025,1025.0,1439.0,Rail,Kolkata,Singapore,1.87,1.06804907718115,High,8,4,378.39,514.97,418.1
SHIP00026,1856.0,2050.0,Road,Kolkata,Los Angeles,1.66,0.906501409368234,Low,7,3,170.1,176.43,433.53
SHIP00027,239.0,1521.0,Rail,Kolkata,Los Angeles,1.37,0.959260216493024,High,7,1,133.39,841.39,157.62
SHIP00028,2784.0,1586.0,Rail,Chennai,London,1.34,0.847899861621487,High,3,4,316.03,755.45,487.7
SHIP00029,3055.0,368.0,Sea,Kolkata,Singapore,0.52,0.901251042857728,High,2,4,59.35,779.78,227.69
SHIP00030,4708.0,2314.0,Rail,Mumbai,Singapore,1.58,1.1364607363819,Medium,2,1,128.24,202.99,1263.75
SHIP00031,1949.0,1944.0,Rail,Delhi,Los Angeles,0.84,0.976164257496699,Low,3,4,280.87,766.9,287.42
SHIP00032,1317.0,3761.0,Sea,Bangalore,London,1.74,1.05611713896764,Medium,3,0,392.06,612.91,881.38
SHIP00033,1578.0,4869.0,Road,Delhi,London,1.33,0.863896588287523,High,2,2,435.77,98.07,461.03
SHIP00034,3252.0,2872.0,Road,Mumbai,Dubai,1.26,0.873322265594221,High,7,4,218.97,327.53,810.64
SHIP00035,3606.0,4558.0,Sea,Mumbai,Dubai,0.82,1.17636844780944,Medium,2,4,488.25,259.29,851.52
SHIP00036,3940.0,1325.0,Air,Delhi,Los Angeles,1.59,1.13657343585401,High,6,0,389.09,326.58,1951.27375
SHIP00037,696.0,3133.0,Sea,Chennai,London,1.32,1.11613230366918,High,5,0,207.21,239.8,500.0
SHIP00038,2938.0,450.0,Air,Mumbai,London,1.9,0.931836113522328,Medium,7,3,201.83,427.96,1680.02
SHIP00039,2485.0,773.0,Rail,Kolkata,Dubai,0.9,1.02510239374795,Low,7,1,225.51,256.16,317.91
SHIP00040,650.0,2379.0,Road,Bangalore,Dubai,0.59,0.996936424673113,High,8,3,376.13,426.3,108.2
SHIP00041,2413.0,1185.0,Air,Bangalore,Los Angeles,1.32,1.18249226269221,High,4,1,166.7,65.76,1407.38
SHIP00042,2111.0,2820.0,Air,Mumbai,London,1.28,0.895853772097737,Low,5,0,60.1,749.14,1211.25
SHIP00043,291.0,4896.0,Rail,Kolkata,Los Angeles,0.97,1.17889319045623,Medium,4,2,285.79,379.7,375.85
